code	producer_product_id	producer_version_id	lc	product_name_ab	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_id	product_name_it	product_name_nl	product_name_pt	product_name_ro	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_it	origin_nl	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ab	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_uz	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	lignoceric-acid_value	lignoceric-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	polyols_value	polyols_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	folates_value	folates_unit	potassium_value	potassium_unit	chloride_value	chloride_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_quantity_per_unit	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_recycling	packaging_4_quantity_per_unit	packaging_4_weight_measured	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:environmental_score_grade	off:environmental_score_score	off:environmental_score_data.missing_key_data	off:environmental_score_data.agribalyse.code	off:environmental_score_data.adjustments.origins_of_ingredients.value	off:environmental_score_data.adjustments.packaging.value	off:environmental_score_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:environmental_score_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
80073536			it							Miele millefiori								4g				Biffi	xx:biffi		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele millefiori	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys			Italia	en:italy			0																												100g	100g	1411	kJ	332	kcal	0	g	0	g	83	g	80	g	0	g	0	g	0	g	0	g			1411	kJ																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	e	19	b	72	1	31008	-5	-15		0							App - Yuka, Apps, App - smoothie-openfoodfacts
8001286302040			it							Miele									100 g			Miele Vangelisti	xx:miele-vangelisti		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys			Italia	en:italy			0																												100g	100g			319	kcal	0.05	g	0	g	76.8	g	76.8	g			1.2	g	0	g	0	g			319	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	18	b	72	1	31008	-5	-15		0							App - yuka, Apps, App - macrofactor
8410000814996			es				Paté de hígado de cerdo suave											240g				Apis	xx:apis		Productos a base de carne, Carnes, Embutidos, Carne de cerdo y sus productos, fr:Charcuteries diverses, Paté, Carne de cerdo, Patés de cerdo	en:meats-and-their-products,en:meats,en:prepared-meats,en:pork-and-its-products,fr:charcuteries-diverses,en:pate,en:pork,en:pork-pates	Sin gluten, Fuente de hierro	en:no-gluten,en:iron-source	España	en:spain			0																												100g	100g			255	kcal	23.5	g	8.5	g	3	g	0.27	g			8.17	g	1.79	g	0.716	g			255	kcal																																																								en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	e	19	unknown		1		-5	-15		0							App - elcoco, App - yuka, Apps, App - El CoCo
4056489632948			it							Miele Millefiori squeeze								400g	100 g			Maribel	xx:maribel		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele millefiori	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys			Italia	en:italy			0																			"Miele millefiori. Miscela di mieli originari e non originari dell'UE: Ungheria, Ucraina. Da consumarsi preferibilmente entro fine (in confezione integra): vedere bordo tappo. Conservare a temperatura ambiente lontano da fonti di luce e di calore. Come ogni alimento grezzo, anche il miele non è indicato per i bambini con età inferiore ai 12 mesi. Il miele è un prodotto naturale che potrebbe cristallizzarsi con il tempo. Il miele cristallizzato può essere riportato allo stato liquido riscaldandolo. 400g e Prodotto per Lidl Italia Srl 1 27040 Arcole (VR) da Apicoltura Piana Sp"									100g	100g			302	kcal	0.1	g	0.1	g	75.1	g	75.1	g			0.4	g	2.5e-05	g	1e-05	g			302	kcal																																																								en:sweets	en:sugary-snacks,en:sweets		unknown	d	18	b	73	1	31008	-4	-15		0							App - Yuka, Apps, App - smoothie-openfoodfacts, App - macrofactor
8410000814958			es				Tomate triturado															Apis	xx:apis		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Condimentos, Verduras y hortalizas y sus productos, Salsas, Tomates y sus productos, Salsas de tomate, Tomate natural triturado, en:groceries	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:condiments,en:vegetables-based-foods,en:sauces,en:tomatoes-and-their-products,en:tomato-sauces,en:tomato-purees,en:groceries			España	en:spain			0																Tomate (99,4%), sal y corrector de acidez (ácido cítrico).												100g	100g			21	kcal	0.1	g	0	g	3.5	g	3.5	g			1	g	0.5	g	0.2	g			21	kcal																																																								en:dressings-and-sauces	en:fats-and-sauces,en:dressings-and-sauces	3	en:3-processed-foods	a	-2	a	77	1	20170	-5	-15		0							App - elcoco, App - yuka, Apps, App - El CoCo
8006450029037			it			Classiche al miele		Caramelle classiche al miele		Classiche al miele								135 g		Plastica	en:plastic	Ambrosoli	xx:ambrosoli		Snack, Snack dolci, Dolci, Prodotti delle api, Caramelle, Caramelle al miele	en:snacks,en:sweet-snacks,en:confectioneries,en:bee-products,en:candies,en:honey-candies	Senza glutine, Prodotto in Italia	en:no-gluten,en:made-in-italy	Francia, Italia	en:france,en:italy			0									Italia	italia					sugar, glucose syrup, honey 23%				Zucchero, sciroppo di glucosio, miele 23%						Latte, Frutta a guscio	en:milk,en:nuts		100g	100g	1591	kJ	374	kcal	0	g	0	g	93.5	g	76.4	g			0.1	g	0.01	g	0.004	g			1591	kJ																																	en:plastic																							en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	e	19	c	47		31003	-5	-10	1	0							App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - InFood
3760244986535			fr			"Lamelles de bœuf séché"		"Lamelles de bœuf séché"								"Lamelles de viande de bœuf séché frais"		400 g				Api	xx:api		"Viandes et dérivés, Viande de bœuf et dérivés, Viandes, Bœuf, Viandes séchées"	en:meats-and-their-products,en:beef-and-its-products,en:meats,en:beef,en:dried-meats			France	en:france			0																	"Viande de bœuf (origine UE ou hors UE), sel, épices, extrait d'épices, dextrose, saccharose, ascorbate de sodium, citrate de sodium, nitrate de potassium"											100g	100g			198	kcal	4.09999990463257	g	1.89999997615814	g	0.200000002980232	g	0.200000002980232	g			40	g	5	g	2	g			198	kcal																																																								en:meat-other-than-poultry	en:fish-meat-eggs,en:meat,en:meat-other-than-poultry	4	en:4-ultra-processed-food-and-drink-products	e	23	unknown		1		-5	-15		0							
8003170058439			it		Honig Miele millefiori					Miele millefiori								400g		Plastica	en:plastic	Conad	xx:conad		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele millefiori	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys			Germania, Italia	en:germany,en:italy	Conad	conad	0		en:Miscela di miele dalla Ungheria e Italia	en:miscela-di-miele-dalla-ungheria-e-italia																miele								off	100g	100g	1326	kJ	312	kcal	0	g	0	g	78	g	78	g	0	g	0	g	0	g	0	g			1326	kJ																																	en:plastic																							en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	18	a	77		31008	-5	-10	1	0							App - yuka, Apps, App - Open Food Facts, App - Speisekammer
8991002105508			en			Kapal Api 180g												180g											Malaysia	en:malaysia			0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15		0							
8991002105553			en			Kapal Api 500g												500g											Brunei	en:brunei			0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15		0							
