barcode,category
7622210449283,en:snacks
7622210449283,en:sweet-snacks
7622210449283,en:biscuits-and-cakes
7622210449283,en:biscuits-and-crackers
7622210449283,en:biscuits
7622210449283,en:chocolate-biscuits
3046920029759,en:snacks
3046920029759,en:sweet-snacks
3046920029759,en:cocoa-and-its-products
3046920029759,en:chocolates
3046920029759,en:dark-chocolates
3046920029759,en:extra-fine-dark-chocolates
6111031005064,en:plant-based-foods-and-beverages
6111031005064,en:plant-based-foods
6111031005064,en:snacks
6111031005064,en:cereals-and-potatoes
6111031005064,en:sweet-snacks
6111031005064,en:biscuits-and-cakes
6111031005064,en:biscuits-and-crackers
6111031005064,en:cereals-and-their-products
6111031005064,en:cocoa-and-its-products
6111031005064,en:confectioneries
6111031005064,en:flours
6111031005064,en:biscuits
6111031005064,en:cereal-flours
6111031005064,en:chocolate-candies
6111031005064,en:sweeteners
6111031005064,en:wheat-flours
6111031005064,en:sugars
6111031005064,fr:gaufrettes-fourrees-au-cacao
3175680011480,en:snacks
3175680011480,en:sweet-snacks
3175680011480,en:biscuits-and-cakes
3175680011480,en:biscuits-and-crackers
3175680011480,en:biscuits
20995553,en:snacks
20995553,en:sweet-snacks
20995553,en:cocoa-and-its-products
20995553,en:chocolates
20995553,en:dark-chocolates
3362600011044,en:snacks
3362600011044,en:sweet-snacks
3362600011044,en:biscuits-and-cakes
3362600011044,en:biscuits-and-crackers
3362600011044,en:biscuits
8425197712024,en:snacks
8425197712024,en:sweet-snacks
8425197712024,en:cocoa-and-its-products
8425197712024,en:confectioneries
8425197712024,en:chocolates
8425197712024,en:compound-chocolates
8425197712024,en:food
7622210578464,en:snacks
7622210578464,en:sweet-snacks
7622210578464,en:cocoa-and-its-products
7622210578464,en:chocolates
7622210578464,en:dark-chocolates
7622210578464,en:dark-chocolate-bar-with-more-than-70-cocoa
6111259343108,en:snacks
6111259343108,en:sweet-snacks
6111259343108,en:biscuits-and-cakes
6111259343108,en:biscuits-and-crackers
6111259343108,en:biscuits
6111259343108,en:drop-cookies
3362600011228,en:snacks
3362600011228,en:sweet-snacks
3362600011228,en:biscuits-and-cakes
3362600011228,en:biscuits-and-crackers
3362600011228,en:biscuits
3362600011228,en:shortbread-cookies
3362600011228,en:shortbread-cookie-with-coconut
8000500310427,en:snacks
8000500310427,en:sweet-snacks
8000500310427,en:biscuits-and-cakes
8000500310427,en:biscuits-and-crackers
8000500310427,en:biscuits
8000500310427,en:filled-biscuits
7300400481595,en:plant-based-foods-and-beverages
7300400481595,en:plant-based-foods
7300400481595,en:snacks
7300400481595,en:cereals-and-potatoes
7300400481595,en:salty-snacks
7300400481595,en:appetizers
7300400481595,en:cereals-and-their-products
7300400481595,en:chips-and-fries
7300400481595,en:crisps
7300400481595,en:breads
7300400481595,en:crispbreads
7300400481595,en:crispbreads-wholemeal
3046920022651,en:fermented-foods
3046920022651,en:snacks
3046920022651,en:sweet-snacks
3046920022651,en:cocoa-and-its-products
3046920022651,en:chocolates
3046920022651,en:dark-chocolates
3046920022651,en:dark-chocolate-bar
3046920022651,en:dark-chocolate-bar-with-more-than-70-cocoa
5060042641000,en:plant-based-foods-and-beverages
5060042641000,en:plant-based-foods
5060042641000,en:snacks
5060042641000,en:cereals-and-potatoes
5060042641000,en:salty-snacks
5060042641000,en:appetizers
5060042641000,en:chips-and-fries
5060042641000,en:crisps
5060042641000,en:potato-crisps
5060042641000,en:potato-crisps-in-sunflower-oil
5060042641000,fr:chips-de-pommes-de-terre-classiques
7622210584724,en:snacks
7622210584724,en:sweet-snacks
7622210584724,en:cocoa-and-its-products
7622210584724,en:confectioneries
7622210584724,en:chocolate-candies
7622210584724,en:chocolates
7622210584724,en:dark-chocolates
3046920022606,en:snacks
3046920022606,en:sweet-snacks
3046920022606,en:cocoa-and-its-products
3046920022606,en:chocolates
3046920022606,en:dark-chocolates
3046920022606,en:dark-chocolate-bar
3229820100234,en:snacks
3229820100234,en:sweet-snacks
3229820100234,en:biscuits-and-cakes
3229820100234,en:biscuits-and-crackers
3229820100234,en:biscuits
3229820100234,en:chocolate-biscuits
3229820100234,en:filled-biscuits
3229820100234,en:dark-chocolate-biscuits
20022464,en:snacks
20022464,en:sweet-snacks
20022464,en:cocoa-and-its-products
20022464,en:chocolates
20022464,en:dark-chocolates
20022464,en:extra-fine-dark-chocolates
20022464,en:cacao-et-derives
3362600011006,en:snacks
3362600011006,en:sweet-snacks
3362600011006,en:biscuits-and-cakes
3362600011006,en:biscuits-and-crackers
3362600011006,en:biscuits
6111259341197,en:snacks
6111259341197,en:sweet-snacks
6111259341197,en:biscuits-and-cakes
6111259341197,en:biscuits-and-crackers
6111259341197,en:biscuits
6111259341197,en:biscuit-snack-with-chocolate-filling
5410041001204,en:snacks
5410041001204,en:salty-snacks
5410041001204,en:appetizers
5410041001204,en:biscuits-and-crackers
5410041001204,en:crackers-appetizers
3046920028004,en:snacks
3046920028004,en:sweet-snacks
3046920028004,en:cocoa-and-its-products
3046920028004,en:chocolates
3046920028004,en:dark-chocolates
3046920028004,en:extra-fine-dark-chocolates
6111259340992,en:snacks
6111259340992,en:sweet-snacks
6111259340992,en:biscuits-and-cakes
6111259340992,en:biscuits
6111259340992,en:chocolate-biscuits
6111259340992,en:biscuits-et-gateaux
6111259340992,en:biscuits-fourres
6111259340992,en:snacks-sucres
6111259340992,fr:biscuit-au-cacao-avec-fourrage-gout-vanille-et-enrobe-au-cacao
06175700,en:plant-based-foods-and-beverages
06175700,en:plant-based-foods
06175700,en:snacks
06175700,en:cereals-and-potatoes
06175700,en:breads
06175700,en:extruded-crispbreads
06175700,en:crispbreads
3175681851849,en:snacks
3175681851849,en:sweet-snacks
3175681851849,en:biscuits-and-cakes
3175681851849,en:biscuits-and-crackers
3175681851849,en:biscuits
3175681851849,en:dry-biscuits
6111252860077,en:snacks
6111252860077,en:aperitif
6111252860077,en:snacks-sales
3046920028363,en:snacks
3046920028363,en:sweet-snacks
3046920028363,en:cocoa-and-its-products
3046920028363,en:chocolates
3046920028363,en:dark-chocolates
3046920028363,en:dark-chocolate-bar-with-more-than-70-cocoa
3046920028363,en:extra-fine-dark-chocolates
6111245591063,en:snacks
