barcode,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
7622210449283,467,17,5.6,69,32,4,6.3,0.49
3046920029759,592,55,30,14,7,15,10,0.03
6111031005064,504,22.2,10.9,71.7,40,0.435,4.35,0.217
3175680011480,467,18,2,64,17,4.6,10,0.38
20995553,579,46.8,28.2,21.4,12.9,,10.8,0.03
3362600011044,440,10.8235,5.2941,76.4706,24.2353,2.3529,7.6471,0.882353
8425197712024,539,33,25,53,50,,7.2,0.275
7622210578464,580,42,25,36,29,10,9.1,0.01
6111259343108,483,24,12,61.5,32,,5.2,0.27
3362600011228,443,12.4,7.14,73.8,23.8,2.38,7.62,0.899
8000500310427,515,24.8,11.5,64,35.8,,7.9,0.559
7300400481595,336,1.5,0.4,62,1,19,9,1
3046920022651,566,41,24,34,30,,9.5,0.1
5060042641000,476,27,2.4,49,0.64,5.5,6.2,0.825
7622210584724,607,50,30,24,14,13,10,0.13
3046920022606,584,46,27,22,15,0,12.5,0.02
3229820100234,481,20,6.9,65,27,5.3,7.6,0.49
20022464,571,42,26,32,26,12.6,9.9,0.02
3362600011006,440,10.8,5.29,76.5,24.2,2.35,7.65,0.882
6111259341197,497,21,9.9,70,27,,7,0.32
5410041001204,482,19,9,67,7.1,2.4,8.3,1.7
3046920028004,566,41,24,34,30,,9.5,0.1
6111259340992,452,23,0,55,0,,6,0
06175700,388,2.8,0.6,75,2.6,4.4,13.4,0.68
3175681851849,453,17,1.5,62,11,6.6,9.8,0.01
6111252860077,534,32.1,32.1,54,54,,5.2,2
3046920028363,578,46,27,22,15,,12.5,0.0125
6111245591063,,,,,,,,
20095291,545,40,24.8,31.9,27.2,11.7,8.4,0.01
80176800,539,30.9,10.6,57.5,56.3,,6.3,0.105
5053990156009,534,31,6.6,56,1.4,3.5,5.9,1.1
8410076801180,436,16.9,2,60,25.1,6,8,0.79
3251490332080,450,19,1.7,54,16,13,9.3,0.19
3046920028721,282.5,25.5,14.5,4.5,0.2,,7,0.03
7613035040823,548,34.1,20.2,50.7,46.4,7.3,6,0.01
6111259342828,424,15.35,9.71,65.7,21.77,,5.71,0.62
3256540000698,353,11,4,55,11,3.5,8.6,0.00275
3045140105502,539,31,19,57,55,2.3,6.5,0.275
3284230006408,336,9.4,0.9,52,13,3.9,8.8,0.95
6111259343344,475,24,12,60.4,31.2,,5.4,0.27
10614594,213,9.5,0.8,27.7,10.4,3.8,2.2,
40896243,570,42,25,35,28,7,9,0.02
20815394,504,31.8,3,40.5,35.7,6.9,10.8,0.02
3046920029780,610,48,29,33,29,,6.9,0.01
3587220002252,341,12,7.4,49,13,,8.1,1.12
5053990101597,498,29,2.9,53,2.1,3.5,6.3,1.0825
8410510012196,580,49,33,14,10,,15,0
5410126006957,584,38.1,7.6,57,36.8,0.8,2.9,0.54
7622210601988,491,23,12,62,28,3.5,5.9,1.2
3041090063206,380,2.8,1,75,7.9,5.4,11,1.6
80052760,572,37.3,17.3,49.5,41.2,2,8.6,0.272
5059697731860,591,44.8,27.1,34.7,23.6,10.5,6.9,
5017764128104,494,25.4,3,56.7,0.1,4.1,7.7,
5053990101573,530,31,3,55,0.9,3.5,6.1,1
3362600001106,376.5,10.5,5.45,63,20,2.3,6.5,0.75
3041090063114,387,2.7,1,78,7.9,3,11,1.7
3175681851856,441,14,1.2,68,17,5.1,8.3,0.2
3229820794525,454,18,3.2,61,17,7.6,8.2,0.61
3061990143365,463,17,8.6,69,30,3.9,6.5,0.47
5000168036755,483,21.3,10.1,63.6,15.1,3.7,7,1.3
3228857001231,356,13,1,49,13,4.5,8.6,0.8
8410076610737,490,28.2,7.5,27.5,17.2,11,25.7,0.9
06153153,378,1.6,0.5,79,0.6,4.7,9.6,0.5
5013665111610,359,1.38,0.414,81.4,1.38,,6.9,1.34
5000159461122,481,22.5,7.9,60.5,51.8,4.3,8.6,0.62875
7622201133337,400,8.12,3.75,71.9,50,3.12,4.69,0.000937
8434165466333,,,,,,,,
5053990155354,525,30,6.4,56,2.7,3.4,6,1.3
6111259347021,522,26,15,66,37,,5.8,0.75
8410076601131,467,18.1,2.2,64.3,26.8,6.4,8.7,0.835
6111242380219,519.8,35,13.58,57,51,31,4.5,0.5
3175680011534,457,17,2.8,65,21,5,8.5,0.74
4014400400007,522,28.8,12.7,59,48.9,,6,0.255
8410076601148,473,19.8,3.4,61.5,26.8,7,8.7,0.65
3175681105423,414,18,3.3,61,0,8.9,8,0.21
5059697710001,597,44.6,27.8,36.2,33.6,5.6,9.9,0.23
16811207,409,15,2.8,60,26,7.6,5.7,1.4
3175680011442,444,14,1.4,66,18,4.9,11,0.36
5000168198491,483,21.3,10.1,63.6,15.1,3.7,7,1.3
3229820021027,416,10,0.8,70,20,7.6,7.6,0.45
3046920010047,570,46,29,24,17,,10,0.0375
5053990161669,515,29,,55,3.4,3.8,6.7,0.00325
3228857001378,327,11,1.1,45.1,9.3,7.2,8.4,1
6111025120605,528,30,18,56,53,7.3,5,0
5013665115373,424,12,1.1,51,3.6,6,25,1.1
5053990167807,534,31,6.6,56,1.4,3.5,5.9,1.1
3229820181950,486,20,7.2,67,30,3.8,7.5,0.52
5053990107339,534,31,6.6,56,1.4,3.5,5.9,1.1
8410376026962,476,21,4.8,61,22,6.5,7.6,1
6111032006718,,,,,,,,
8410510012202,569,47,30,17,12,,14,0.02
7622210995087,569,39,16,43,40,7.8,7.3,0.01
80135876,539,30.9,10.6,57.5,56.3,,6.3,0.1075
8000500023976,627,48.3,29.5,38.6,33.6,,7.4,0.267
5060088707685,368,11,1.7,56,49,9.5,6.6,0.01
6111031005033,535,29,18,64,47,1.5,3.3,0.18
3175681209282,456,17,1.4,65,8.9,6.5,7.6,0.05
5000119117359,358,2,0.6,68,4.4,10,12,0.28
5060088700112,421,21.7,3.5,32.6,25.2,15.4,16.1,0.01
7622210476296,453,14,6.7,73,26,3.4,7.5,0.7
3178530410105,419,21,2,54,23,1.5,5.5,0.71
3251490307002,459,16,3.7,67,20,5.1,7.3,0.27
5060042641406,502,27.2,2.3,54.4,2.3,6.3,6.4,1.77
7622210204424,469,17,5.6,71,32,3.1,6.2,0.49
80761761,571,35.9,16.8,53,43.9,,8.5,0.33
5060283762199,482,21,3,61,1,0.7,10,1.84
7622201809638,424,20,5.2,57,32,1.9,4.4,0.55
6923818881323,452,22.9,11.9,52,31.6,,8.1,0.13
3175681066632,454,16,1.4,66,16,5,8.9,0.36
5010265002836,352,0.952,0.19,68.6,2.86,13.3,10.5,0.762
5053990127726,534,31,6.6,56,1.4,3.5,5.9,1.1
5060088706534,374,11.1,1.71,57.1,48.6,9.43,6.57,0.0285
6111031005538,402,19,11,55,38,1.7,4.1,0.54
0612322000127,460,21,4,50,1,11,12,1.68
7622210713889,444,15,2.5,67,28,5.7,7.3,0.69
7622210421968,498,23,14,65,39,2.8,6.2,0.64
8410376009392,431,17,1.7,65,0.5,9.3,6.1,0.65
7622210713780,439,14,3.6,66,27,6.8,7.9,0.62
5060283760072,465,20.4,1.7,56.5,11.3,12.6,7.6,0.66
4056489471264,605,51.9,31.4,16.2,7.3,14.6,11,0.02
3017760000062,440,12,7.5,72,23,3.8,8.1,1.3
3336971805021,453,19,1.7,56.7,2.3,7.33,13,1.1
20713713,639,55.3,34,20.6,14,11.5,9,0.01
3251490320001,440,14.3,1.19,65.5,21.4,7.14,9.52,0.238
7622210100917,504,24,12,65,35,2.7,5.7,0.6
5050974505259,352,4.76,0.952,72.4,3.81,17.1,12.4,0.571
3175681037854,370,1.7000000476837,0.40000000596046,75,1.5,3.5,12,0.47999998927116
5060088701478,394,15.4,3.14,51.4,42.9,8.57,8.57,0.0286
3046920027885,537,32,19,52,47,,5.7,0.37
5060088706022,442,23,4,42,35,9.3,12,0.58
