barcode,product_name,ingredients,nutrients,categories,countries
7622210449283,Prince Goût Chocolat,"Céréale 50 % (Farine de BLE 34,8 %, farine de BLE complète 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de BLE, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lecithines de SOJA), sel, LAIT écrémé en poudre, perméat de lactosérum (de LAIT), arômes. PEUT CONTENIR OEUF.",alcohol: 0; alcohol_100g: 0; alcohol_serving: 0; alcohol_unit: % vol; alcohol_value: 0; carbohydrates: 69; carbohydrates_100g: 69; carbohydrates_prepared_unit: g; carbohydrates_serving: 13.8; carbohydrates_unit: g; carbohydrates_value: 69; carbon-footprint-from-known-ingredients_100g: 15; carbon-footprint-from-known-ingredients_product: 15; carbon-footprint-from-known-ingredients_serving: 3; energy: 1963; energy-kcal: 467; energy-kcal_100g: 467; energy-kcal_prepared_unit: kcal; energy-kcal_serving: 93.4; energy-kcal_unit: kcal; energy-kcal_value: 467; energy-kcal_value_computed: 462.2; energy-kj: 1963; energy-kj_100g: 1963; energy-kj_prepared_unit: kJ; energy-kj_serving: 393; energy-kj_unit: kJ; energy-kj_value: 1963; energy-kj_value_computed: 1941.1; energy_100g: 1963; energy_prepared_unit: kJ; energy_serving: 393; energy_unit: kJ; energy_value: 1963; fat: 17; fat_100g: 17; fat_prepared_unit: mg; fat_serving: 3.4; fat_unit: g; fat_value: 17; fiber: 4; fiber_100g: 4; fiber_prepared_unit: mg; fiber_serving: 0.8; fiber_unit: g; fiber_value: 4; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 6.80681818181818; fruits-vegetables-nuts-estimate-from-ingredients_serving: 6.80681818181818; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 20; nutrition-score-fr_100g: 20; proteins: 6.3; proteins_100g: 6.3; proteins_prepared_unit: mg; proteins_serving: 1.26; proteins_unit: g; proteins_value: 6.3; salt: 0.49; salt_100g: 0.49; salt_prepared_unit: mg; salt_serving: 0.098; salt_unit: g; salt_value: 0.49; saturated-fat: 5.6; saturated-fat_100g: 5.6; saturated-fat_prepared_unit: mg; saturated-fat_serving: 1.12; saturated-fat_unit: g; saturated-fat_value: 5.6; sodium: 0.196; sodium_100g: 0.196; sodium_prepared_unit: mg; sodium_serving: 0.0392; sodium_unit: g; sodium_value: 0.196; sugars: 32; sugars_100g: 32; sugars_prepared_unit: mg; sugars_serving: 6.4; sugars_unit: g; sugars_value: 32,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat","en:algeria, en:belgium, en:france, en:french-polynesia, en:germany, en:guadeloupe, en:hungary, en:luxembourg, en:martinique, en:morocco, en:new-caledonia, en:reunion, en:spain, en:switzerland, en:united-states"
3046920029759,Excellence Noir Prodigieux 90% Cacao,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.",carbohydrates: 1.4; carbohydrates_100g: 14; carbohydrates_serving: 1.4; carbohydrates_unit: g; carbohydrates_value: 1.4; cocoa: 90; cocoa_100g: 90; cocoa_label: Cocoa (minimum); cocoa_serving: 90; cocoa_unit: g; cocoa_value: 90; energy: 248; energy-kcal: 59.2; energy-kcal_100g: 592; energy-kcal_serving: 59.2; energy-kcal_unit: kcal; energy-kcal_value: 59.2; energy-kcal_value_computed: 62.1; energy_100g: 2480; energy_serving: 248; energy_unit: kcal; energy_value: 59.2; fat: 5.5; fat_100g: 55; fat_serving: 5.5; fat_unit: g; fat_value: 5.5; fiber: 1.5; fiber_100g: 15; fiber_serving: 1.5; fiber_unit: g; fiber_value: 1.5; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; nova-group: 3; nova-group_100g: 3; nova-group_serving: 3; nutrition-score-fr: 14; nutrition-score-fr_100g: 14; proteins: 1; proteins_100g: 10; proteins_serving: 1; proteins_unit: g; proteins_value: 1; salt: 0.003; salt_100g: 0.03; salt_serving: 0.003; salt_unit: g; salt_value: 0.003; saturated-fat: 3; saturated-fat_100g: 30; saturated-fat_serving: 3; saturated-fat_unit: g; saturated-fat_value: 3; sodium: 0.0012; sodium_100g: 0.012; sodium_serving: 0.0012; sodium_unit: g; sodium_value: 0.0012; sugars: 0.7; sugars_100g: 7; sugars_serving: 0.7; sugars_unit: g; sugars_value: 0.7,"Snacks,Zoete snacks,Cacao en afgeleide producten,Chocoladeproducten,Pure chocolades,Extra fijne pure chocolade","en:algeria, en:austria, en:belgium, en:bulgaria, en:czech-republic, en:finland, en:france, en:french-polynesia, en:germany, en:ireland, en:italy, en:mauritius, en:morocco, en:netherlands, en:norway, en:reunion, en:romania, en:singapore, en:spain, en:sweden, en:switzerland, en:tunisia, en:united-kingdom"
6111031005064,Tonik,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",alcohol: 0; alcohol_100g: 0; alcohol_serving: 0; alcohol_unit: % vol; alcohol_value: 0; carbohydrates: 16.5; carbohydrates_100g: 71.7; carbohydrates_serving: 16.5; carbohydrates_unit: g; carbohydrates_value: 16.5; energy: 487; energy-kcal: 116; energy-kcal_100g: 504; energy-kcal_serving: 116; energy-kcal_unit: kcal; energy-kcal_value: 116; energy-kcal_value_computed: 116.1; energy-kj: 487; energy-kj_100g: 2120; energy-kj_serving: 487; energy-kj_unit: kJ; energy-kj_value: 487; energy-kj_value_computed: 487; energy_100g: 2120; energy_serving: 487; energy_unit: kJ; energy_value: 487; fat: 5.1; fat_100g: 22.2; fat_serving: 5.1; fat_unit: g; fat_value: 5.1; fiber: 0.1; fiber_100g: 0.435; fiber_serving: 0.1; fiber_unit: g; fiber_value: 0.1; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; nova-group: 2; nova-group_100g: 2; nova-group_serving: 2; nutrition-score-fr: 28; nutrition-score-fr_100g: 28; proteins: 1; proteins_100g: 4.35; proteins_serving: 1; proteins_unit: g; proteins_value: 1; salt: 0.05; salt_100g: 0.217; salt_serving: 0.05; salt_unit: g; salt_value: 0.05; saturated-fat: 2.5; saturated-fat_100g: 10.9; saturated-fat_serving: 2.5; saturated-fat_unit: g; saturated-fat_value: 2.5; sodium: 0.02; sodium_100g: 0.087; sodium_serving: 0.02; sodium_unit: g; sodium_value: 0.02; sugars: 9.2; sugars_100g: 40; sugars_serving: 9.2; sugars_unit: g; sugars_value: 9.2,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao",en:morocco
3175680011480,Sésame,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",carbohydrates: 64; carbohydrates_100g: 64; carbohydrates_serving: 7.36; carbohydrates_unit: g; carbohydrates_value: 64; carbon-footprint-from-known-ingredients_100g: 66.12; carbon-footprint-from-known-ingredients_product: 152; carbon-footprint-from-known-ingredients_serving: 7.6; energy: 1961; energy-kcal: 467; energy-kcal_100g: 467; energy-kcal_serving: 53.7; energy-kcal_unit: kcal; energy-kcal_value: 467; energy-kcal_value_computed: 467.2; energy-kj: 1961; energy-kj_100g: 1961; energy-kj_serving: 226; energy-kj_unit: kJ; energy-kj_value: 1961; energy-kj_value_computed: 1960.8; energy_100g: 1961; energy_serving: 226; energy_unit: kJ; energy_value: 1961; fat: 18; fat_100g: 18; fat_serving: 2.07; fat_unit: g; fat_value: 18; fiber: 4.6; fiber_100g: 4.6; fiber_serving: 0.529; fiber_unit: g; fiber_value: 4.6; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 10.8; fruits-vegetables-nuts-estimate-from-ingredients_serving: 10.8; fruits-vegetables-nuts_100g: 0; fruits-vegetables-nuts_serving: 0; fruits-vegetables-nuts_unit: g; fruits-vegetables-nuts_value: 0; magnesium: 0.144; magnesium_100g: 0.144; magnesium_label: 0; magnesium_serving: 0.0166; magnesium_unit: g; magnesium_value: 0.144; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 9; nutrition-score-fr_100g: 9; proteins: 10; proteins_100g: 10; proteins_serving: 1.15; proteins_unit: g; proteins_value: 10; salt: 0.38; salt_100g: 0.38; salt_serving: 0.0437; salt_unit: g; salt_value: 0.38; saturated-fat: 2; saturated-fat_100g: 2; saturated-fat_serving: 0.23; saturated-fat_unit: g; saturated-fat_value: 2; sodium: 0.152; sodium_100g: 0.152; sodium_serving: 0.0175; sodium_unit: g; sodium_value: 0.152; sugars: 17; sugars_100g: 17; sugars_serving: 1.96; sugars_unit: g; sugars_value: 17; vitamin-b1: 0.00039; vitamin-b1_100g: 0.00039; vitamin-b1_label: 0; vitamin-b1_serving: 4.48e-05; vitamin-b1_unit: g; vitamin-b1_value: 0.00039; vitamin-b6: 0.00038; vitamin-b6_100g: 0.00038; vitamin-b6_label: 0; vitamin-b6_serving: 4.37e-05; vitamin-b6_unit: g; vitamin-b6_value: 0.00038; vitamin-b9: 5.83e-05; vitamin-b9_100g: 5.83e-05; vitamin-b9_label: 0; vitamin-b9_serving: 6.7e-06; vitamin-b9_unit: g; vitamin-b9_value: 5.83e-05; vitamin-e: 0.0085; vitamin-e_100g: 0.0085; vitamin-e_label: 0; vitamin-e_serving: 0.000978; vitamin-e_unit: g; vitamin-e_value: 0.0085; vitamin-pp: 0.0037; vitamin-pp_100g: 0.0037; vitamin-pp_serving: 0.000426; vitamin-pp_unit: g; vitamin-pp_value: 0.0037,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","en:belgium, en:bulgaria, en:france, en:switzerland"
20995553,Dark Chocolate 85% Cocoa,"Cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract.
Dark chocolate containts: Cocoa solids 85% minimum.",carbohydrates: 21.4; carbohydrates_100g: 21.4; carbohydrates_serving: 2.67; carbohydrates_unit: g; carbohydrates_value: 21.4; carbon-footprint-from-known-ingredients_product: 521; carbon-footprint-from-known-ingredients_serving: 52.1; cocoa: 85; cocoa_100g: 85; cocoa_serving: 85; cocoa_unit: g; cocoa_value: 85; energy: 2395; energy-kcal: 579; energy-kcal_100g: 579; energy-kcal_serving: 72.4; energy-kcal_unit: kcal; energy-kcal_value: 579; energy-kcal_value_computed: 550; energy-kj: 2395; energy-kj_100g: 2395; energy-kj_serving: 299; energy-kj_unit: kJ; energy-kj_value: 2395; energy-kj_value_computed: 2279; energy_100g: 2395; energy_serving: 299; energy_unit: kJ; energy_value: 2395; fat: 46.8; fat_100g: 46.8; fat_serving: 5.85; fat_unit: g; fat_value: 46.8; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 20; nutrition-score-fr_100g: 20; proteins: 10.8; proteins_100g: 10.8; proteins_serving: 1.35; proteins_unit: g; proteins_value: 10.8; salt: 0.03; salt_100g: 0.03; salt_serving: 0.00375; salt_unit: g; salt_value: 0.03; saturated-fat: 28.2; saturated-fat_100g: 28.2; saturated-fat_serving: 3.52; saturated-fat_unit: g; saturated-fat_value: 28.2; sodium: 0.012; sodium_100g: 0.012; sodium_serving: 0.0015; sodium_unit: g; sodium_value: 0.012; sugars: 12.9; sugars_100g: 12.9; sugars_serving: 1.61; sugars_unit: g; sugars_value: 12.9,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","en:austria, en:belgium, en:bulgaria, en:estonia, en:finland, en:france, en:germany, en:italy, en:lithuania, en:slovakia, en:slovenia, en:spain, en:united-kingdom"
3362600011044,Henry’s,"Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",calcium: 0.013; calcium_100g: 0.013; calcium_label: Calcium; calcium_modifier: <; calcium_serving: 0.00546; calcium_unit: % DV; calcium_value: 1; carbohydrates: 76.4706; carbohydrates_100g: 76.4706; carbohydrates_serving: 32.1; carbohydrates_unit: g; carbohydrates_value: 76.4706; energy: 1841; energy-kcal: 440; energy-kcal_100g: 440; energy-kcal_serving: 185; energy-kcal_unit: kcal; energy-kcal_value: 440; energy-kcal_value_computed: 438.5881; energy_100g: 1841; energy_serving: 773; energy_unit: kcal; energy_value: 440; fat: 10.8235; fat_100g: 10.8235; fat_serving: 4.55; fat_unit: g; fat_value: 10.8235; fiber: 2.3529; fiber_100g: 2.3529; fiber_serving: 0.988; fiber_unit: g; fiber_value: 2.3529; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; iron: 0.0009; iron_100g: 0.0009; iron_label: Fer; iron_modifier: <; iron_serving: 0.000378; iron_unit: % DV; iron_value: 5; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 21; nutrition-score-fr_100g: 21; proteins: 7.6471; proteins_100g: 7.6471; proteins_serving: 3.21; proteins_unit: g; proteins_value: 7.6471; salt: 0.882353; salt_100g: 0.882353; salt_serving: 0.371; salt_unit: g; salt_value: 0.882353; saturated-fat: 5.2941; saturated-fat_100g: 5.2941; saturated-fat_serving: 2.22; saturated-fat_unit: g; saturated-fat_value: 5.2941; sodium: 0.3529412; sodium_100g: 0.3529412; sodium_serving: 0.148; sodium_unit: g; sodium_value: 0.3529412; sugars: 24.2353; sugars_100g: 24.2353; sugars_serving: 10.2; sugars_unit: g; sugars_value: 24.2353; vitamin-a: 1.5e-05; vitamin-a_100g: 1.5e-05; vitamin-a_label: Vitamine A (rétinol); vitamin-a_modifier: <; vitamin-a_serving: 6.3e-06; vitamin-a_unit: % DV; vitamin-a_value: 1; vitamin-c: 0.00036; vitamin-c_100g: 0.00036; vitamin-c_label: Vitamine C (acide ascorbique); vitamin-c_modifier: <; vitamin-c_serving: 0.000151; vitamin-c_unit: % DV; vitamin-c_value: 0.6,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits",en:morocco
8425197712024,,"sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring",carbohydrates: 53; carbohydrates_100g: 53; carbohydrates_unit: g; carbohydrates_value: 53; cocoa: 8; cocoa_100g: 8; cocoa_label: 0; cocoa_serving: 8; cocoa_unit: g; cocoa_value: 8; energy: 2255; energy-kcal: 539; energy-kcal_100g: 539; energy-kcal_unit: kcal; energy-kcal_value: 539; energy-kcal_value_computed: 537.8; energy_100g: 2255; energy_unit: kcal; energy_value: 539; fat: 33; fat_100g: 33; fat_unit: g; fat_value: 33; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 2.67857142857143; fruits-vegetables-nuts-estimate-from-ingredients_serving: 2.67857142857143; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 31; nutrition-score-fr_100g: 31; proteins: 7.2; proteins_100g: 7.2; proteins_unit: g; proteins_value: 7.2; salt: 0.275; salt_100g: 0.275; salt_unit: g; salt_value: 0.275; saturated-fat: 25; saturated-fat_100g: 25; saturated-fat_unit: g; saturated-fat_value: 25; sodium: 0.11; sodium_100g: 0.11; sodium_unit: g; sodium_value: 0.11; sugars: 50; sugars_100g: 50; sugars_unit: g; sugars_value: 50,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolates,Compound chocolates,Food","en:algeria, en:cameroon, en:france, en:morocco, en:spain"
7622210578464,Organic 70% Dark Chocolate Bar,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts, milk,",carbohydrates: 36; carbohydrates_100g: 36; carbohydrates_serving: 36; carbohydrates_unit: g; carbohydrates_value: 36; cocoa: 70; cocoa_100g: 70; cocoa_label: Cocoa (minimum); cocoa_serving: 70; cocoa_unit: g; cocoa_value: 70; energy: 2428; energy-kcal: 580; energy-kcal_100g: 580; energy-kcal_serving: 580; energy-kcal_unit: kcal; energy-kcal_value: 580; energy-kcal_value_computed: 578.4; energy-kj: 2428; energy-kj_100g: 2428; energy-kj_serving: 2430; energy-kj_unit: kJ; energy-kj_value: 2428; energy-kj_value_computed: 2400.7; energy_100g: 2428; energy_serving: 2430; energy_unit: kJ; energy_value: 2428; fat: 42; fat_100g: 42; fat_serving: 42; fat_unit: g; fat_value: 42; fiber: 10; fiber_100g: 10; fiber_serving: 10; fiber_unit: g; fiber_value: 10; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; nova-group: 3; nova-group_100g: 3; nova-group_serving: 3; nutrition-score-fr: 20; nutrition-score-fr_100g: 20; proteins: 9.1; proteins_100g: 9.1; proteins_serving: 9.1; proteins_unit: g; proteins_value: 9.1; salt: 0.01; salt_100g: 0.01; salt_serving: 0.01; salt_unit: g; salt_value: 0.01; saturated-fat: 25; saturated-fat_100g: 25; saturated-fat_serving: 25; saturated-fat_unit: g; saturated-fat_value: 25; sodium: 0.004; sodium_100g: 0.004; sodium_serving: 0.004; sodium_unit: g; sodium_value: 0.004; sugars: 29; sugars_100g: 29; sugars_serving: 29; sugars_unit: g; sugars_value: 29,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum","en:france, en:ireland, en:sweden, en:united-kingdom"
6111259343108,KING COOKIES,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,carbohydrates: 61.5; carbohydrates_100g: 61.5; carbohydrates_unit: g; carbohydrates_value: 61.5; energy: 2021; energy-kcal: 483; energy-kcal_100g: 483; energy-kcal_unit: kcal; energy-kcal_value: 483; energy-kcal_value_computed: 482.8; energy_100g: 2021; energy_unit: kcal; energy_value: 483; fat: 24; fat_100g: 24; fat_unit: g; fat_value: 24; fruits-vegetables-legumes-estimate-from-ingredients_100g: 0; fruits-vegetables-legumes-estimate-from-ingredients_serving: 0; fruits-vegetables-nuts-estimate-from-ingredients_100g: 0; fruits-vegetables-nuts-estimate-from-ingredients_serving: 0; nutrition-score-fr: 26; nutrition-score-fr_100g: 26; proteins: 5.2; proteins_100g: 5.2; proteins_unit: g; proteins_value: 5.2; salt: 0.27; salt_100g: 0.27; salt_unit: g; salt_value: 0.27; saturated-fat: 12; saturated-fat_100g: 12; saturated-fat_unit: g; saturated-fat_value: 12; sodium: 0.108; sodium_100g: 0.108; sodium_unit: g; sodium_value: 0.108; sugars: 32; sugars_100g: 32; sugars_unit: g; sugars_value: 32,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Drop cookies",en:morocco
3362600011228,Sable coco Henry s 42g,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.",carbohydrates: 31; carbohydrates_100g: 73.8; carbohydrates_serving: 31; carbohydrates_unit: g; carbohydrates_value: 31; cholesterol: 0.0004; cholesterol_100g: 0.000952; cholesterol_label: Cholestérol; cholesterol_serving: 0.0004; cholesterol_unit: mg; cholesterol_value: 0.4; energy: 778; energy-kcal: 186; energy-kcal_100g: 443; energy-kcal_serving: 186; energy-kcal_unit: kcal; energy-kcal_value: 186; energy-kcal_value_computed: 185.6; energy_100g: 1850; energy_serving: 778; energy_unit: kcal; energy_value: 186; fat: 5.2; fat_100g: 12.4; fat_serving: 5.2; fat_unit: g; fat_value: 5.2; fiber: 1; fiber_100g: 2.38; fiber_serving: 1; fiber_unit: g; fiber_value: 1; fruits-vegetables-legumes-estimate-from-ingredients_100g: 10.6; fruits-vegetables-legumes-estimate-from-ingredients_serving: 10.6; fruits-vegetables-nuts-estimate-from-ingredients_100g: 10.6; fruits-vegetables-nuts-estimate-from-ingredients_serving: 10.6; nova-group: 4; nova-group_100g: 4; nova-group_serving: 4; nutrition-score-fr: 22; nutrition-score-fr_100g: 22; proteins: 3.2; proteins_100g: 7.62; proteins_serving: 3.2; proteins_unit: g; proteins_value: 3.2; salt: 0.3775; salt_100g: 0.899; salt_serving: 0.3775; salt_unit: g; salt_value: 0.3775; saturated-fat: 3; saturated-fat_100g: 7.14; saturated-fat_serving: 3; saturated-fat_unit: g; saturated-fat_value: 3; sodium: 0.151; sodium_100g: 0.36; sodium_serving: 0.151; sodium_unit: g; sodium_value: 0.151; sugars: 10; sugars_100g: 23.8; sugars_serving: 10; sugars_unit: g; sugars_value: 10; trans-fat: 0.2; trans-fat_100g: 0.476; trans-fat_label: Acides gras trans; trans-fat_serving: 0.2; trans-fat_unit: g; trans-fat_value: 0.2,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco",en:morocco
