barcode,product_name,brand,packaging,create_t,last_modified_t,quantity,labels,ecoscore_score,nova_group
7622210449283,Prince Goût Chocolat,lu,"Packet,Hdpe film-packet,Etui en carton,Film en plastique",1443988064,1753259979,100g,Triman,31,4
3046920029759,Excellence Noir Prodigieux 90% Cacao,lindt,"en:Aluminium wrap,en:Box cardboard,en:Caja de cartón,en:Card-box,en:Foil-wrapper,es:Recipiente,pt:Papel de aluminio,Étui carton,Feuille aluminium",1348995410,1752831459,100 g,"Groene Punt,Triman",29,3
6111031005064,Tonik,bimo,,1724094916,1754122309,22 g,fr:Tonik,66,2
3175680011480,Sésame,gerble,"Cardboard,Plastic",1360951415,1753281928,230g,"No preservatives, Made in France, Natural flavors, No colorings, No palm oil, Nutriscore, Nutriscore Grade B, Triman, en:green-dot",57,4
20995553,Dark Chocolate 85% Cocoa,j-d-gross,"Cardboard,Non-corrugated cardboard",1556354695,1753701454,125g,"Vegetarian,Fair trade,Fairtrade International,No artificial flavors,Vegan,Fairtrade cocoa,FSC,FSC Mix,Max Havelaar",43,4
3362600011044,Henry’s,henry-s,Plastique,1513789538,1738845039,42g,,55,4
8425197712024,,maruja,"Métal,Papier,en:Recyclable Metals,Aluminium",1482948213,1745147085,150 g,"Green Dot,Made in Spain,Ce",,4
7622210578464,Organic 70% Dark Chocolate Bar,green-black-s,Paper/Foil,1550493371,1751977023,90g,"Commerce équitable,Bio,Végétarien,Bio européen,Fairtrade International,Végétalien,PL-EKO-07,en:Soil Association Organic,The Vegan Society,en:Commerce équitable",40,3
6111259343108,KING COOKIES,excelo,,1608169426,1748677560,,Green Dot,50,
3362600011228,Sable coco Henry s 42g,henry-s,Plastique,1522578754,1738845211,42g,,58,4
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,"ferrero, nutella","Plastique,O 7 - Autres plastiques",1548751374,1753087658,304 g,Ponto Verde,44,4
7300400481595,Tartine croustillante Authentique,"barilla, wasa","Papier,Enveloppe,en:Package paper,en:Paper recycling",1436854915,1753762309,275 g,"Bio,Point Vert,Triman, Végétarien",,3
3046920022651,Excellence Noir Intense 70% Cacao,lindt,"Métal,Carton,Métaux recyclables,Aluminium",1462636415,1754312863,100 g,"Sans conservateurs,Fabriqué en France,Triman,Lindt & Sprüngli Cacao Farming Program",29,3
5060042641000,Lightly Sea Salted,tyrrell-s,"en:MixedPlasticFilm-packet,en:mixed plastic film-packet",1366890201,1747593802,150 g,"Sans gluten,Végétarien,Sans arômes artificiels,Végétalien,Assured Food Standards,Point Vert,Sans colorants artificiels,Sans exhausteur de goût,Sans glutamate,Triman,en:Made-in-england,en:Terracycle",83,3
7622210584724,Dark chocolate,green-black-s,"1 film to recycle, 1 paper wrap to recycle, en:paper-wrapper, en:foil-wrapper",1562679146,1741270306,90g,"Commerce équitable,Bio,Végétarien,Bio européen,Fairtrade International,Agriculture non UE,Végétalien,FR-BIO-01,en:FSC,FSC Mix,Point Vert,Max Havelaar,PL-EKO-07,en:Soil Association Organic,The Vegan Society",55,3
3046920022606,Excellence Noir Puissant 85% Cacao,lindt,"fr:emballage carton,fr:papier aluminium",1462865556,1748943335,100g,"Agriculture non UE,Fabriqué en Belgique,Fabriqué en France,Sans huile de palme,Triman",29,3
3229820100234,Fourrés Chocolat Noir,bjorg,"Étui,Carton,Plastique,Sec,Film",1366110700,1754407735,225 g,"Organic,EU Organic,Non-EU Agriculture,Certified B Corporation,EU Agriculture,EU/non-EU Agriculture,FR-BIO-01,No palm oil,Pure cocoa butter,AB Agriculture Biologique,fr:Farine de blé français",70,4
