barcode,ingredient_text
7622210449283,"Céréale 50 % (Farine de BLE 34,8 %, farine de BLE complète 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de BLE, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lecithines de SOJA), sel, LAIT écrémé en poudre, perméat de lactosérum (de LAIT), arômes. PEUT CONTENIR OEUF."
3046920029759,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille."
6111031005064,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja"
3175680011480,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9)."
20995553,"Cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract.
Dark chocolate containts: Cocoa solids 85% minimum."
3362600011044,"Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome."
8425197712024,"sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring"
7622210578464,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts, milk,"
6111259343108,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب
3362600011228,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes."
8000500310427,"Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'ORGE et de maïs, amidon de FROMENT, émulsifiants: lécithines [SOJA]; vanilline."
7300400481595,"Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit."
3046920022651,"Pâte de cacao, sucre, beurre de cacao, vanille.

Peut contenir des fruits à coque, du lait, du soja et des graines de sésame."
5060042641000,"Potatoes, sunflower oil, sea salt. May contain Milk."
7622210584724,"pâte de cacao*, beurre de cacao*, cacao maigre en poudre*, sucre de canne*, extrait de vanille*, * ingrédients issus de l'agriculture biologique"
3046920022606,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.

Peut contenir du lait, des fruits à coque, du soja et des graines de sésame."
3229820100234,"Farine de blé* 39%, Chocolat noir* 25% (pâte de cacao*, sucre de canne*, beurre de cacao*) Sucre de canne* roux non raffiné,  Farine complète de blé* 15%, Huile de tournesol oléique*,  Arôme naturel de vanille,  Lait* écrémé en poudre, Sel de mer.
Poudres à lever (carbonates d'ammonium, carbonates de sodium). Épaississant (gomme d'acacia). Antioxydant (extraits de romarin)."
20022464,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,"
3362600011006,"farine de froment, sucre, Graisse végétale , Sucre inverti, Agents levants (Bicarbonate d'ammonium, Bicarbonate de sodium), arôme vanille"
6111259341197,"Farine de blé, sucre, huile végétale hydrogénée (palme), cacao en poudre (3,4%), régulateur d'acidité (acide citrique (E330), acide tartrique (E334)), poudre à lever (bicarbonate d'ammonium et bicarbonate sodium), émulsifiant végétal (lécithine de soja (E322)) et sel."
5410041001204,"Farine de _BLÉ_, huile de palme, sirop de glucose, extrait de malt d'_ORGE_, poudres à lever (carbonates d'ammonium, carbonates de sodium), sel, _OEUFS_, arôme, agent de traitement de la farine (_DISULFITE_ de sodium)."
3046920028004,"Cocoa mass, sugar, cocoa butter, vanilla."
6111259340992,"Sucre, Farine de blé tendre, Graisses végétales (Palme, Karité), Cacao en poudre, Sirop de glucose, Amidon de maïs, Poudre de lait, Poudre de lactosérum, Lait entier en poudre, Masse de cacao, Poudre à lever (Bicarbonate de sodium et d'ammonium), Sel, Emulsifiant (Lécithine de soja (E322), et Vaniline."
06175700,"Farine de sarrasin*, sucre de canne blond**, cacao en poudre** (6,3%). *issu de l'agriculture biologique. **ingrédients biologiques issus du Commerce Équitable."
3175681851849,"Farine de _blé_ 68,5 %, huile de colza, sirop de sucres issu de fruits, jus concentré de pomme 5,3 %, _noisettes_ torréfiées 5,3 %, germe de _blé_ 5,2 %, fibres de chicorée: fructose-oligo-saccharides, extrait de malt d'_orge_, arôme naturel de pomme, émulsifiant : lécithines de colza, amidon de _blé_ , poudres à lever (tartrates de potassium, carbonates de potassium), vitamines B1, B2, B6, B9, PP et E,"
6111252860077,"Maïs, huile et/ou graisse végétale, arômes, sel et colorant"
3046920028363,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille."
